;name;latitude;longitude;number_of_bikes;ebikes;normal_bikes;city
0;Transit Center;34.85028;-82.40107;7;;;Greenville, SC
1;Link West End;34.84511;-82.40491;4;;;Greenville, SC
2;NEXT Innovation Center;34.84043;-82.39883;5;;;Greenville, SC
3;College & Main;34.85399;-82.39797;6;;;Greenville, SC
4;City Hall;34.84841;-82.40027;3;;;Greenville, SC
5;Caine Halter YMCA;34.83585;-82.38589;0;;;Greenville, SC
6;Greenville Zoo;34.84717;-82.38581;2;;;Greenville, SC
7;Swamp Rabbit Cafe;34.86926;-82.42157;5;;;Greenville, SC
8;Fluor Field;34.8429;-82.40897;4;;;Greenville, SC
9;Unity Park;34.85409;-82.41556;3;;;Greenville, SC
10;Japanese Dogwood;34.84618;-82.4013;0;;;Greenville, SC
11;River Walk;34.84722;-82.40256;2;;;Greenville, SC
12;Reedy Rides 50SR;34.85056;-82.40158;0;;;Greenville, SC
